step,t_yr,Mn_ratio_mean,Mn_ratio_min,Mn_ratio_max,E_rel_mean,mass_frac_target,mass_frac_real,porosity_mean,risk_mean,voxels,components
59,2.950000,0.124740,0.085983,0.332333,0.016516,0.841726,0.829680,0.022362,2.026920,34786,1
60,3.000000,0.119630,0.082522,0.326184,0.015180,0.815712,0.814654,0.022491,2.045275,34156,1
61,3.050000,0.117804,0.081019,0.320149,0.014763,0.788827,0.784912,0.022536,2.051925,32909,1
62,3.100000,0.112552,0.077968,0.314224,0.013432,0.761835,0.758342,0.022668,2.070855,31795,1
63,3.150000,0.110229,0.076017,0.308408,0.012945,0.735483,0.733084,0.022727,2.079386,30736,1
64,3.200000,0.108352,0.074464,0.302694,0.012546,0.710414,0.713550,0.022774,2.086271,29917,1
65,3.250000,0.103339,0.072644,0.297078,0.011335,0.687107,0.687671,0.022899,2.104429,28832,1
66,3.300000,0.101007,0.070730,0.291585,0.010851,0.665860,0.665228,0.022958,2.113001,27891,1
67,3.350000,0.100363,0.069545,0.286136,0.010831,0.646796,0.649367,0.022974,2.115545,27226,1
68,3.400000,0.097244,0.067731,0.280901,0.010221,0.629895,0.631312,0.023052,2.127062,26469,1
69,3.450000,0.092796,0.065353,0.275697,0.009335,0.615035,0.616906,0.023164,2.143467,25865,1
70,3.500000,0.089067,0.062408,0.270587,0.008620,0.602031,0.605648,0.023257,2.157267,25393,1
71,3.550000,0.085125,0.059618,0.265569,0.007908,0.590668,0.589334,0.023356,2.171917,24709,1
72,3.600000,0.081355,0.057555,0.260641,0.007232,0.580727,0.578768,0.023451,2.185939,24266,1
73,3.650000,0.077706,0.054637,0.255800,0.006626,0.571997,0.574188,0.023542,2.199584,24074,1
74,3.700000,0.074834,0.052367,0.251044,0.006168,0.564290,0.571994,0.023614,2.210354,23982,1
75,3.750000,0.071649,0.050176,0.246370,0.005677,0.557437,0.561404,0.023694,2.222325,23538,1
76,3.800000,0.069022,0.048079,0.241774,0.005292,0.551297,0.560880,0.023760,2.232230,23516,1
77,3.850000,0.066634,0.046492,0.237255,0.004943,0.545749,0.548859,0.023820,2.241236,23012,1
78,3.900000,0.064094,0.043841,0.232808,0.004597,0.540695,0.546140,0.023883,2.250850,22898,1
79,3.950000,0.061450,0.041723,0.228431,0.004203,0.536052,0.543301,0.023950,2.260809,22779,1
80,4.000000,0.058837,0.040137,0.224120,0.003850,0.531754,0.537649,0.024015,2.270709,22542,1
81,4.050000,0.056255,0.038628,0.219870,0.003513,0.527748,0.533952,0.024080,2.280508,22387,1
82,4.100000,0.053995,0.036964,0.215679,0.003244,0.523989,0.530160,0.024136,2.289123,22228,1
83,4.150000,0.051736,0.035419,0.211543,0.002976,0.520443,0.527321,0.024193,2.297738,22109,1
84,4.200000,0.049633,0.034071,0.207460,0.002744,0.517081,0.522837,0.024246,2.305786,21921,1
85,4.250000,0.047655,0.032748,0.203427,0.002533,0.513880,0.520619,0.024295,2.313366,21828,1
86,4.300000,0.045840,0.031360,0.199443,0.002346,0.510822,0.516779,0.024341,2.320332,21667,1
87,4.350000,0.044076,0.030193,0.195506,0.002174,0.507892,0.514108,0.024385,2.327121,21555,1
88,4.400000,0.042240,0.028616,0.191556,0.001989,0.505076,0.510506,0.024431,2.334172,21404,1
89,4.450000,0.040470,0.027833,0.187719,0.001827,0.502367,0.508074,0.024475,2.340997,21302,1
90,4.500000,0.038815,0.026574,0.183968,0.001686,0.499754,0.504401,0.024516,2.347397,21148,1
91,4.550000,0.037343,0.025466,0.180238,0.001566,0.497230,0.503089,0.024553,2.353095,21093,1
92,4.600000,0.035903,0.024404,0.176565,0.001451,0.494792,0.501014,0.024589,2.358673,21006,1
93,4.650000,0.034552,0.023461,0.172947,0.001346,0.492432,0.498271,0.024623,2.363912,20891,1
94,4.700000,0.033205,0.022370,0.169393,0.001247,0.490147,0.496625,0.024657,2.369147,20822,1
95,4.750000,0.031896,0.021438,0.165901,0.001154,0.487934,0.493453,0.024689,2.374233,20689,2
96,4.800000,0.030661,0.020540,0.162473,0.001069,0.485788,0.491950,0.024720,2.379040,20626,2
97,4.850000,0.029445,0.019680,0.159108,0.000989,0.483708,0.488206,0.024751,2.383778,20469,2
98,4.900000,0.028324,0.018858,0.155806,0.000918,0.481690,0.487442,0.024779,2.388152,20437,2
99,4.950000,0.027181,0.018067,0.152571,0.000847,0.479732,0.483746,0.024807,2.392611,20282,2
100,5.000000,0.026155,0.017321,0.149305,0.000787,0.477832,0.482481,0.024833,2.396620,20229,2
101,5.050000,0.025138,0.016598,0.146196,0.000728,0.475989,0.480144,0.024859,2.400596,20131,2
102,5.100000,0.024148,0.015905,0.143150,0.000672,0.474200,0.478570,0.024883,2.404466,20065,2
103,5.150000,0.023236,0.015241,0.140165,0.000624,0.472463,0.477210,0.024906,2.408042,20008,2
104,5.200000,0.022344,0.014605,0.137203,0.000579,0.470776,0.475231,0.024928,2.411537,19925,2
105,5.250000,0.021477,0.013986,0.134402,0.000537,0.469140,0.473084,0.024950,2.414938,19835,2
106,5.300000,0.020667,0.013401,0.131598,0.000499,0.467551,0.472178,0.024970,2.418119,19797,2
107,5.350000,0.019882,0.012825,0.128851,0.000464,0.466008,0.470771,0.024990,2.421204,19738,2
108,5.400000,0.019100,0.012211,0.126164,0.000429,0.464510,0.469220,0.025010,2.424276,19673,2
109,5.450000,0.018363,0.011757,0.123517,0.000397,0.463056,0.468099,0.025028,2.427174,19626,2
110,5.500000,0.017655,0.011267,0.120938,0.000368,0.461644,0.466549,0.025046,2.429960,19561,2
111,5.550000,0.016965,0.010888,0.118413,0.000340,0.460273,0.465142,0.025063,2.432675,19502,2
112,5.600000,0.016304,0.010428,0.115941,0.000315,0.458942,0.463711,0.025079,2.435282,19442,2
113,5.650000,0.015687,0.009993,0.113520,0.000293,0.457650,0.462423,0.025095,2.437713,19388,2
114,5.700000,0.015098,0.009576,0.111149,0.000272,0.456396,0.460968,0.025110,2.440036,19327,2
115,5.750000,0.014535,0.009177,0.108828,0.000253,0.455178,0.460014,0.025124,2.442261,19287,2
116,5.800000,0.013987,0.008794,0.106555,0.000236,0.453996,0.458941,0.025137,2.444424,19242,2
117,5.850000,0.013460,0.008427,0.104330,0.000219,0.452848,0.458010,0.025151,2.446504,19203,2
118,5.900000,0.012956,0.008061,0.102151,0.000204,0.451733,0.456770,0.025163,2.448497,19151,2
119,5.950000,0.012427,0.007720,0.100017,0.000188,0.450652,0.455554,0.025176,2.450588,19100,2
120,6.000000,0.011953,0.007378,0.097937,0.000175,0.449601,0.454337,0.025188,2.452464,19049,2
