step,t_yr,Mn_ratio_mean,Mn_ratio_min,Mn_ratio_max,E_rel_mean,mass_frac_target,mass_frac_real,porosity_mean,risk_mean,voxels,components
52,2.600000,0.214283,0.180852,0.293012,0.045059,1.000000,1.000000,0.020110,1.713224,41927,1
53,2.650000,0.208059,0.174985,0.286173,0.042503,1.000000,1.000000,0.020267,1.734148,41927,1
54,2.700000,0.202017,0.169309,0.279493,0.040092,1.000000,1.000000,0.020419,1.754573,41927,1
55,2.750000,0.196150,0.163815,0.272969,0.037820,1.000000,1.000000,0.020567,1.774506,41927,1
56,2.800000,0.190455,0.158499,0.266596,0.035678,1.000000,1.000000,0.020711,1.793956,41927,1
57,2.850000,0.184925,0.153354,0.260371,0.033658,1.000000,1.000000,0.020850,1.812931,41927,1
58,2.900000,0.179557,0.148376,0.254291,0.031753,1.000000,1.000000,0.020985,1.831440,41927,1
59,2.950000,0.174345,0.143559,0.248353,0.029957,1.000000,1.000000,0.021116,1.849491,41927,1
60,3.000000,0.169285,0.138898,0.242552,0.028264,1.000000,1.000000,0.021243,1.867093,41927,1
61,3.050000,0.164372,0.134388,0.236886,0.026667,1.000000,1.000000,0.021367,1.884255,41927,1
62,3.100000,0.159603,0.130023,0.231351,0.025161,1.000000,1.000000,0.021487,1.900985,41927,1
63,3.150000,0.154973,0.125800,0.225945,0.023742,1.000000,1.000000,0.021603,1.917292,41927,1
64,3.200000,0.150477,0.121714,0.220665,0.022402,1.000000,1.000000,0.021716,1.933185,41927,1
65,3.250000,0.146113,0.117760,0.215507,0.021140,1.000000,1.000000,0.021826,1.948671,41927,1
66,3.300000,0.141876,0.113935,0.210469,0.019948,1.000000,1.000000,0.021932,1.963760,41927,1
67,3.350000,0.137762,0.110233,0.205547,0.018825,0.999999,1.000000,0.022036,1.978460,41927,1
68,3.400000,0.133769,0.106652,0.200740,0.017766,0.999996,1.000000,0.022136,1.992779,41927,1
69,3.450000,0.129891,0.103187,0.196044,0.016766,0.999993,1.000000,0.022233,2.006726,41927,1
70,3.500000,0.111969,0.091582,0.191594,0.012336,0.999987,0.948148,0.022683,2.071489,39753,1
71,3.550000,0.108532,0.088497,0.187113,0.011598,0.999979,0.948148,0.022770,2.084085,39753,1
72,3.600000,0.105200,0.085516,0.182735,0.010905,0.999968,0.948148,0.022853,2.096325,39753,1
73,3.650000,0.101971,0.082635,0.178460,0.010254,0.999954,0.948148,0.022934,2.108220,39753,1
74,3.700000,0.098842,0.079851,0.174283,0.009641,0.999936,0.948148,0.023013,2.119778,39753,1
75,3.750000,0.095809,0.077161,0.170204,0.009066,0.999914,0.948148,0.023089,2.131007,39753,1
76,3.800000,0.092870,0.074561,0.166219,0.008525,0.999887,0.948148,0.023162,2.141917,39753,1
77,3.850000,0.090021,0.072049,0.162328,0.008017,0.999855,0.948148,0.023234,2.152514,39753,1
